codigo,pobtotal,agua,cloaca,hac,p12a17,asistsec,ocupados,radio_amp,a.pob,a.scs,a.ocup,a.tam5,tagua,tcloaca,thaci,teduc,tcober,the
62740808,911,550,182,130,86,42,359,1,1071,858,313,176,0.6037,0.1998,0.1427,0.4884,0.8011,0.5623
62740809,987,912,3,222,140,67,369,1,921,516,382,218,0.9240,0.0030,0.2249,0.4786,0.5603,0.5707
62740810,1349,1245,9,375,202,88,468,1,2448,1793,1140,503,0.9229,0.0067,0.2780,0.4356,0.7324,0.4412
62740811,1006,966,9,322,149,77,381,0,NA,NA,NA,NA,0.9602,0.0089,0.3201,0.5168,0.6146,0.4792
62740812,1013,926,4,165,152,71,405,1,871,552,340,175,0.9141,0.0039,0.1629,0.4671,0.6338,0.5147
62740813,1703,1556,40,410,219,68,594,1,2519,2102,728,414,0.9137,0.0235,0.2408,0.3105,0.8345,0.5687
62740814,1261,1221,17,110,154,121,582,1,1090,482,394,142,0.9683,0.0135,0.0872,0.7857,0.4422,0.3604
62740815,1206,1153,12,66,156,97,550,1,989,459,362,154,0.9561,0.0100,0.0547,0.6218,0.4641,0.4254
62740816,1029,991,14,135,112,79,480,1,1107,589,539,223,0.9631,0.0136,0.1312,0.7054,0.5321,0.4137
62740817,992,0,0,92,122,81,379,1,852,525,307,148,0.0000,0.0000,0.0927,0.6639,0.6162,0.4821
62740818,1205,15,12,160,169,75,527,1,770,467,323,214,0.0124,0.0100,0.1328,0.4438,0.6065,0.6625
62740819,1236,7,14,192,130,63,501,1,808,609,273,181,0.0057,0.0113,0.1553,0.4846,0.7537,0.6630
62740820,1411,0,11,321,195,96,592,1,1996,1373,701,433,0.0000,0.0078,0.2275,0.4923,0.6879,0.6177
62740901,1281,313,19,292,172,74,592,1,913,580,428,297,0.2443,0.0148,0.2279,0.4302,0.6353,0.6939
62740902,1215,597,0,230,168,83,458,1,1995,1207,631,304,0.4914,0.0000,0.1893,0.4940,0.6050,0.4818
62740903,1300,456,0,314,161,52,468,1,1955,1452,701,355,0.3508,0.0000,0.2415,0.3230,0.7427,0.5064
62740904,1189,786,19,317,157,68,463,1,798,632,283,156,0.6611,0.0160,0.2666,0.4331,0.7920,0.5512
62740905,1053,571,0,222,140,68,427,1,1210,829,451,239,0.5423,0.0000,0.2108,0.4857,0.6851,0.5299
62740906,1622,1059,3,389,176,86,678,1,956,29,404,205,0.6529,0.0018,0.2398,0.4886,0.0303,0.5074
62740907,901,564,25,154,122,74,367,1,1033,623,305,160,0.6260,0.0277,0.1709,0.6066,0.6031,0.5246
62740908,791,481,24,103,114,70,345,1,644,354,288,96,0.6081,0.0303,0.1302,0.6140,0.5497,0.3333
62740909,707,525,571,65,71,50,313,1,1073,531,472,233,0.7426,0.8076,0.0919,0.7042,0.4949,0.4936
62740910,1191,616,885,47,133,112,584,1,993,331,388,182,0.5172,0.7431,0.0395,0.8421,0.3333,0.4691
62740911,892,235,18,164,104,65,376,0,NA,NA,NA,NA,0.2635,0.0202,0.1839,0.6250,0.5720,0.5134
62740912,911,104,0,206,103,58,368,1,1382,858,516,335,0.1142,0.0000,0.2261,0.5631,0.6208,0.6492
62740913,1028,14,1,207,137,85,414,1,1175,934,550,315,0.0136,0.0010,0.2014,0.6204,0.7949,0.5727
62740914,1053,8,14,272,164,66,420,1,1002,743,410,244,0.0076,0.0133,0.2583,0.4024,0.7415,0.5951
62740915,1648,11,25,260,205,106,683,1,995,319,377,160,0.0067,0.0152,0.1578,0.5171,0.3206,0.4244
62740916,905,70,0,115,118,80,414,1,1078,485,424,218,0.0773,0.0000,0.1271,0.6780,0.4499,0.5142
62740917,1172,928,25,229,170,86,459,1,901,508,262,145,0.7918,0.0213,0.1954,0.5059,0.5638,0.5534
62740918,1124,832,36,91,143,87,453,1,1442,758,507,217,0.7402,0.0320,0.0810,0.6084,0.5257,0.4280
62740919,1401,696,5,309,177,69,489,1,706,339,306,168,0.4968,0.0036,0.2206,0.3898,0.4802,0.5490
62740920,1386,288,9,296,195,98,603,1,1791,1202,724,418,0.2078,0.0065,0.2136,0.5026,0.6711,0.5773
62740921,1306,0,9,255,175,118,525,1,1101,426,462,148,0.0000,0.0069,0.1953,0.6743,0.3869,0.3203
62740922,1090,4,10,163,144,87,449,1,1275,827,430,189,0.0037,0.0092,0.1495,0.6042,0.6486,0.4395
62741001,1295,398,27,275,157,89,585,1,950,561,439,176,0.3073,0.0208,0.2124,0.5669,0.5905,0.4009
62741002,1104,922,61,161,142,60,479,1,913,630,255,166,0.8351,0.0553,0.1458,0.4225,0.6900,0.6510
62741003,1567,1037,20,201,175,87,707,1,1794,1017,730,351,0.6618,0.0128,0.1283,0.4971,0.5669,0.4808
62741004,1102,782,7,209,127,85,469,1,1283,597,476,215,0.7096,0.0064,0.1897,0.6693,0.4653,0.4517
62741005,885,694,7,107,121,61,405,1,901,564,380,189,0.7842,0.0079,0.1209,0.5041,0.6260,0.4974
62741006,988,693,40,122,158,79,418,1,1114,664,487,279,0.7014,0.0405,0.1235,0.5000,0.5961,0.5729
62741007,1425,795,16,245,166,63,604,1,870,431,259,109,0.5579,0.0112,0.1719,0.3795,0.4954,0.4208
62741008,1428,58,8,228,211,128,651,1,858,541,365,166,0.0406,0.0056,0.1597,0.6066,0.6305,0.4548
62741009,1109,554,89,208,206,103,477,1,1868,1197,883,324,0.4995,0.0803,0.1876,0.5000,0.6408,0.3669
62741010,1087,28,8,222,133,75,497,1,1352,897,490,248,0.0258,0.0074,0.2042,0.5639,0.6635,0.5061
62741011,776,56,0,102,87,58,390,1,366,176,178,153,0.0722,0.0000,0.1314,0.6667,0.4809,0.8596
62741012,1191,0,6,211,150,66,604,1,1549,1236,719,392,0.0000,0.0050,0.1772,0.4400,0.7979,0.5452
62741013,591,19,0,72,80,35,246,0,NA,NA,NA,NA,0.0321,0.0000,0.1218,0.4375,0.6773,0.5170
62741014,971,21,0,223,121,75,362,1,2697,2214,1259,845,0.0216,0.0000,0.2297,0.6198,0.8209,0.6712
62741015,4218,0,0,235,157,86,539,1,3807,3040,385,164,0.0000,0.0000,0.0557,0.5478,0.7985,0.4260
62741101,979,978,944,56,87,66,468,1,732,222,337,137,0.9990,0.9642,0.0572,0.7586,0.3033,0.4065
62741102,1187,1187,1140,70,125,80,576,1,1036,347,402,211,1.0000,0.9604,0.0590,0.6400,0.3349,0.5249
62741103,1141,1141,1050,65,147,94,578,1,1254,369,488,236,1.0000,0.9202,0.0570,0.6395,0.2943,0.4836
62741104,1105,1105,1010,89,140,91,539,1,951,286,410,153,1.0000,0.9140,0.0805,0.6500,0.3007,0.3732
62741105,1587,1587,1166,82,158,105,758,1,1086,576,701,412,1.0000,0.7347,0.0517,0.6646,0.5304,0.5877
62741106,2209,2199,422,171,277,138,1069,0,NA,NA,NA,NA,0.9955,0.1910,0.0774,0.4982,0.5044,0.4920
62741107,1232,1232,1,73,132,64,545,1,3647,1224,1513,680,1.0000,0.0008,0.0593,0.4848,0.3356,0.4494
62741108,1186,1183,11,45,128,87,582,1,1445,809,690,310,0.9975,0.0093,0.0379,0.6797,0.5599,0.4493
62741109,2004,2004,11,165,237,143,917,1,1353,788,527,235,1.0000,0.0055,0.0823,0.6034,0.5824,0.4459
62741110,2020,2020,98,152,253,160,938,1,3115,1614,1088,391,1.0000,0.0485,0.0752,0.6324,0.5181,0.3594
62741111,1020,776,0,137,122,79,443,1,589,273,241,71,0.7608,0.0000,0.1343,0.6475,0.4635,0.2946
62741112,1156,788,5,213,122,74,488,1,1026,710,454,201,0.6817,0.0043,0.1843,0.6066,0.6920,0.4427
62741113,1155,1048,12,174,157,87,548,1,984,604,431,286,0.9074,0.0104,0.1506,0.5541,0.6138,0.6636
62741114,1222,1129,9,227,131,66,470,1,45,6,0,0,0.9239,0.0074,0.1858,0.5038,0.1333,0.0000
62741115,1201,974,6,179,182,111,509,1,1263,713,533,309,0.8110,0.0050,0.1490,0.6099,0.5645,0.5797
62741116,1109,885,9,139,160,71,485,1,1074,765,450,304,0.7980,0.0081,0.1253,0.4438,0.7123,0.6756
62741117,1574,1259,11,248,188,103,632,1,1434,1154,482,307,0.7999,0.0070,0.1576,0.5479,0.8047,0.6369
62741118,1073,638,17,103,115,55,452,1,1656,984,667,389,0.5946,0.0158,0.0960,0.4783,0.5942,0.5832
62741201,1464,405,1389,94,137,105,730,1,1081,412,389,142,0.2766,0.9488,0.0642,0.7664,0.3811,0.3650
62741202,875,468,775,31,99,82,429,1,1153,363,508,220,0.5349,0.8857,0.0354,0.8283,0.3148,0.4331
62741203,1041,968,956,27,92,79,526,1,985,237,444,240,0.9299,0.9183,0.0259,0.8587,0.2406,0.5405
62741204,698,551,537,10,51,37,301,1,701,278,285,97,0.7894,0.7693,0.0143,0.7255,0.3966,0.3404
62741205,635,635,618,8,44,31,338,1,979,233,615,340,1.0000,0.9732,0.0126,0.7045,0.2380,0.5528
62741206,693,691,662,4,43,35,371,1,742,120,395,185,0.9971,0.9553,0.0058,0.8140,0.1617,0.4684
62741207,826,826,817,37,96,72,456,0,NA,NA,NA,NA,1.0000,0.9891,0.0448,0.7500,0.3329,0.4481
62741208,1598,1456,1444,78,179,130,783,1,2045,560,927,362,0.9111,0.9036,0.0488,0.7263,0.2738,0.3905
62741209,1506,1121,1361,242,162,119,683,1,1660,696,690,236,0.7444,0.9037,0.1607,0.7346,0.4193,0.3420
62741210,1142,777,1071,121,147,102,525,1,1310,615,442,196,0.6804,0.9378,0.1060,0.6939,0.4695,0.4434
62741211,1373,261,737,138,172,113,653,1,852,229,420,182,0.1901,0.5368,0.1005,0.6570,0.2688,0.4333
62741212,1583,945,353,170,207,148,703,1,1453,556,537,253,0.5970,0.2230,0.1074,0.7150,0.3827,0.4711
62741213,887,352,19,67,92,51,386,1,1098,595,545,251,0.3968,0.0214,0.0755,0.5543,0.5419,0.4606
62741214,875,64,18,99,118,66,407,1,1183,517,506,213,0.0731,0.0206,0.1131,0.5593,0.4370,0.4209
62741215,1391,673,55,156,181,109,667,1,999,164,428,204,0.4838,0.0395,0.1121,0.6022,0.1642,0.4766
62741216,1261,1256,104,104,156,127,560,1,1014,230,451,192,0.9960,0.0825,0.0825,0.8141,0.2268,0.4257
62741217,1207,1175,1062,97,158,100,565,1,827,214,365,248,0.9735,0.8799,0.0804,0.6329,0.2588,0.6795
62741301,1325,1314,1249,68,138,84,653,1,941,117,491,137,0.9917,0.9426,0.0513,0.6087,0.1243,0.2790
62741302,640,632,621,4,62,48,320,1,743,152,284,98,0.9875,0.9703,0.0063,0.7742,0.2046,0.3451
62741303,760,758,711,29,78,67,374,0,NA,NA,NA,NA,0.9974,0.9355,0.0382,0.8590,0.3887,0.3753
62741304,826,826,759,56,88,67,399,1,1215,371,599,222,1.0000,0.9189,0.0678,0.7614,0.3053,0.3706
62741305,900,900,499,100,94,63,404,1,1794,1034,860,363,1.0000,0.5544,0.1111,0.6702,0.5764,0.4221
62741306,1442,1442,1260,283,241,175,561,1,1763,1422,452,199,1.0000,0.8738,0.1963,0.7261,0.8066,0.4403
62741307,941,412,789,64,101,66,478,0,NA,NA,NA,NA,0.4378,0.8385,0.0680,0.6535,0.3887,0.3753
62741308,852,446,704,56,71,47,437,1,1401,631,808,363,0.5235,0.8263,0.0657,0.6620,0.4504,0.4493
