codigo,pobtotal,agua,cloaca,hac,p12a17,asistsec,ocupados,radio_amp,a.pob,a.scs,a.ocup,a.tam5,tagua,tcloaca,thaci,teduc,tcober,the
62742120,829,822,23,44,95,72,347,1,1300,659,527,184,0.9916,0.0277,0.0531,0.7579,0.5069,0.3491
62742121,807,799,18,57,88,55,383,1,1210,794,580,283,0.9901,0.0223,0.0706,0.6250,0.6562,0.4879
62742122,1020,982,15,92,117,80,492,1,1285,698,542,193,0.9627,0.0147,0.0902,0.6838,0.5432,0.3561
62742123,1156,1111,34,108,160,104,495,1,949,207,367,224,0.9611,0.0294,0.0934,0.6500,0.2181,0.6104
62742201,949,377,3,171,120,56,404,1,525,384,275,145,0.3973,0.0032,0.1802,0.4667,0.7314,0.5273
62742202,1049,158,13,245,116,51,432,0,NA,NA,NA,NA,0.1506,0.0124,0.2336,0.4397,0.5491,0.5010
62742203,1692,1360,15,268,224,137,714,1,2081,979,798,310,0.8038,0.0089,0.1584,0.6116,0.4704,0.3885
62742204,998,431,13,70,113,83,490,1,1047,395,453,215,0.4319,0.0130,0.0701,0.7345,0.3773,0.4746
62742205,993,682,7,143,143,92,403,1,1258,652,372,196,0.6868,0.0070,0.1440,0.6434,0.5183,0.5269
62742206,1290,299,33,237,168,89,514,1,871,686,459,175,0.2318,0.0256,0.1837,0.5298,0.7876,0.3813
62742207,157,0,0,15,15,4,84,0,NA,NA,NA,NA,0.0000,0.0000,0.0955,0.2667,0.5491,0.5010
62742208,345,0,1,52,37,22,163,0,NA,NA,NA,NA,0.0000,0.0029,0.1507,0.5946,0.5491,0.5010
62742209,555,0,0,88,58,35,237,0,NA,NA,NA,NA,0.0000,0.0000,0.1586,0.6034,0.5491,0.5010
62742210,1255,0,0,173,169,77,568,1,1924,833,850,472,0.0000,0.0000,0.1378,0.4556,0.4330,0.5553
62742211,1556,2,2,322,182,81,640,1,959,684,389,205,0.0013,0.0013,0.2069,0.4451,0.7132,0.5270
62742212,896,0,1,162,115,53,370,1,1258,836,478,323,0.0000,0.0011,0.1808,0.4609,0.6645,0.6757
